iter	Logloss
0	0.6893246882
1	0.6851235803
2	0.6816643231
3	0.6780216939
4	0.6749132679
5	0.6712530725
6	0.6678284172
7	0.6638015975
8	0.6596777358
9	0.6573752091
10	0.65425935
11	0.6509418873
12	0.6477461198
13	0.6438482512
14	0.641337469
15	0.63836729
16	0.6357848031
17	0.6326015851
18	0.6300816115
19	0.6273755624
20	0.6242764308
21	0.6213379169
22	0.6182566611
23	0.615999563
24	0.6131182902
25	0.60984073
26	0.6073519398
27	0.6050417893
28	0.6022302319
29	0.5988005011
30	0.5959669274
31	0.592777809
32	0.5902290183
33	0.5871034738
34	0.5843495271
35	0.5812791074
36	0.5784864394
37	0.5751105887
38	0.5722496408
39	0.569739124
40	0.5669936303
41	0.5643159879
42	0.56109156
43	0.5581964076
44	0.555147641
45	0.5522736725
46	0.5495347644
47	0.5472670978
48	0.5445372413
49	0.5425204787
50	0.5402386146
51	0.5377404565
52	0.5350366215
53	0.5320148479
54	0.5303276961
55	0.5272689455
56	0.5247569964
57	0.5238164129
58	0.5217215
59	0.5197808629
60	0.5177654566
61	0.5152938674
62	0.5129873821
63	0.5106952155
64	0.5088380242
65	0.5063835572
66	0.5039746058
67	0.5016398276
68	0.4996039429
69	0.4972297432
70	0.4950480512
71	0.493241081
72	0.4911933001
73	0.4898581398
74	0.488212533
75	0.4860851488
76	0.4835972036
77	0.4816022945
78	0.4800599479
79	0.4777652889
80	0.4756711763
81	0.4738030553
82	0.4720385769
83	0.4708254592
84	0.4686707786
85	0.4665390663
86	0.464584302
87	0.4634348317
88	0.462171101
89	0.4602839828
90	0.458627783
91	0.4571713528
92	0.455089638
93	0.4533108745
94	0.4518384984
95	0.4500793937
96	0.4484502251
97	0.4472695251
98	0.4457414964
99	0.4443419721
100	0.4427302418
101	0.441836812
102	0.4402134157
103	0.4382564171
104	0.4368039568
105	0.4360609142
106	0.4352407003
107	0.4329685863
108	0.4308471851
109	0.4293769561
110	0.427971149
111	0.4265878632
112	0.4252236252
113	0.4234500699
114	0.422294785
115	0.4208361929
116	0.4193358243
117	0.4178544763
118	0.4162837314
119	0.4149283423
120	0.4133666806
121	0.4121366338
122	0.4109300359
123	0.4096018136
124	0.4083715248
125	0.4072541449
126	0.4062525714
127	0.4041422783
128	0.4028191467
129	0.4015681903
130	0.4002560412
131	0.3987181646
132	0.3982862444
133	0.3968819424
134	0.3955029596
135	0.3946994738
136	0.3935873386
137	0.3922090569
138	0.3910176649
139	0.3898826518
140	0.388650478
141	0.3876778576
142	0.3864206827
143	0.3849310012
144	0.3840982555
145	0.3833024929
146	0.3816745956
147	0.3804722212
148	0.3788547286
149	0.3775146728
150	0.3759354973
151	0.3752051708
152	0.3744911123
153	0.3734454163
154	0.3721668816
155	0.3707631015
156	0.369585248
157	0.368396749
158	0.3673088302
159	0.3662084751
160	0.3648559515
161	0.363755857
162	0.3625207655
163	0.3615185518
164	0.3605305691
165	0.3596073169
166	0.3586410928
167	0.3581587098
168	0.3573798802
169	0.3560929438
170	0.3551795613
171	0.3543228958
172	0.3533366125
173	0.3528587368
174	0.3514432116
175	0.3505034997
176	0.3496058447
177	0.3482258643
178	0.3475809804
179	0.3466705435
180	0.3458869359
181	0.3449180372
182	0.3443020074
183	0.3431577316
184	0.3423523285
185	0.3411700875
186	0.3402151851
187	0.339522528
188	0.3386427623
189	0.3380287214
190	0.3372350272
191	0.3366441365
192	0.3360145258
193	0.335018207
194	0.3340258951
195	0.3331004093
196	0.3322128762
197	0.33147848
198	0.3306075273
199	0.3301421634
200	0.3289487642
201	0.3281940445
202	0.3270654232
203	0.3260642935
204	0.3252337425
205	0.3246108677
206	0.3238808067
207	0.3229769653
208	0.322238787
209	0.3213769777
210	0.3203703939
211	0.3194071361
212	0.3184734951
213	0.3177237561
214	0.3168917087
215	0.3162219972
216	0.3154004966
217	0.3142804681
218	0.3134739047
219	0.3127395497
