iter	Passed	Remaining
473	729	809
474	731	808
475	732	806
476	734	805
477	735	803
478	737	801
479	738	800
480	740	798
481	741	797
482	743	795
483	744	793
484	746	792
485	747	790
486	749	789
487	750	787
488	752	785
489	753	784
490	755	783
491	756	781
492	758	779
493	759	778
494	761	776
495	762	775
496	764	773
497	765	772
498	767	770
499	769	769
500	770	767
501	773	767
502	775	766
503	776	764
504	778	763
505	780	762
506	782	760
507	783	759
508	785	757
509	786	756
510	788	754
511	789	752
512	791	751
513	793	749
514	794	748
515	796	746
516	797	745
517	798	743
518	800	741
519	801	739
520	803	738
521	804	736
522	805	735
523	807	733
524	809	732
525	810	730
526	812	729
527	813	727
528	815	725
529	816	724
530	818	722
531	819	720
532	820	719
533	822	717
534	823	716
535	825	714
536	826	712
537	828	711
538	829	709
539	831	708
540	832	706
541	834	704
542	835	703
543	837	701
544	838	700
545	839	698
546	841	696
547	842	695
548	844	693
549	845	691
550	847	690
551	848	688
552	850	687
553	851	685
554	853	684
555	854	682
556	856	680
557	857	679
558	858	677
559	860	675
560	861	674
561	863	672
562	864	671
563	866	669
564	867	668
565	869	666
566	870	665
567	872	663
568	873	661
569	875	660
570	877	658
571	878	657
572	880	655
573	881	654
574	883	652
575	884	651
576	886	649
577	887	647
578	889	646
579	890	644
580	892	643
581	893	641
582	895	640
583	896	638
584	898	637
585	899	635
586	901	634
587	903	632
588	905	631
589	906	630
590	908	628
591	909	627
592	911	625
593	912	623
594	914	622
595	915	620
596	916	618
597	918	617
598	920	615
599	921	614
600	923	612
601	924	611
602	926	609
603	927	607
604	928	606
605	930	604
606	931	603
607	933	601
608	934	600
609	936	598
610	937	597
611	939	595
612	941	594
613	942	592
614	944	591
615	945	589
616	947	587
617	948	586
618	949	584
619	951	583
620	953	581
621	956	581
622	958	579
623	959	578
624	961	576
625	963	575
626	965	574
627	966	572
628	968	571
629	969	569
630	971	568
631	972	566
632	974	564
633	975	563
634	977	561
635	978	560
636	980	558
637	981	557
638	983	555
639	984	554
640	986	552
641	987	550
642	989	549
643	990	547
644	992	546
645	993	544
646	995	543
647	997	541
648	998	540
649	1000	538
650	1001	537
651	1003	535
652	1004	533
653	1006	532
654	1007	530
655	1009	529
656	1010	527
657	1012	526
658	1013	524
659	1015	522
660	1016	521
661	1018	519
662	1019	518
663	1021	516
664	1022	515
665	1023	513
666	1025	511
667	1026	510
668	1028	508
669	1029	507
670	1031	505
671	1032	504
672	1034	502
673	1035	500
674	1037	499
675	1038	497
676	1039	496
677	1041	494
678	1042	492
679	1044	491
680	1045	489
681	1047	488
682	1048	486
683	1050	485
684	1051	483
685	1053	482
686	1054	480
687	1055	478
688	1057	477
689	1058	475
690	1060	474
691	1061	472
692	1063	470
693	1064	469
694	1066	467
695	1067	466
696	1068	464
697	1070	463
698	1071	461
699	1073	459
700	1074	458
701	1075	456
702	1077	455
703	1078	453
704	1080	451
705	1081	450
706	1083	448
707	1084	447
708	1086	445
709	1087	444
710	1088	442
711	1090	441
712	1091	439
713	1093	437
714	1094	436
715	1096	434
716	1097	433
717	1099	431
718	1100	430
719	1102	428
720	1103	427
721	1105	425
722	1106	424
723	1108	422
724	1109	420
725	1111	419
726	1112	417
727	1114	416
728	1115	414
729	1117	413
730	1119	411
731	1120	410
732	1121	408
733	1123	407
734	1125	405
735	1126	404
736	1128	402
737	1129	401
738	1131	399
739	1132	398
740	1134	396
741	1136	395
742	1137	393
743	1138	391
744	1140	390
745	1141	388
746	1143	387
747	1144	385
748	1146	384
749	1148	382
750	1150	381
751	1152	380
752	1154	378
753	1156	377
754	1158	375
755	1159	374
756	1161	372
757	1162	371
758	1164	369
759	1165	368
760	1167	366
761	1168	365
762	1170	363
763	1171	361
764	1173	360
765	1174	358
766	1176	357
767	1177	355
768	1179	354
769	1180	352
770	1181	351
771	1183	349
772	1184	347
773	1186	346
774	1187	344
775	1189	343
776	1190	341
777	1192	340
778	1193	338
779	1195	337
780	1196	335
781	1198	334
782	1199	332
783	1201	331
784	1202	329
785	1204	327
786	1205	326
787	1207	324
788	1208	323
789	1210	321
790	1211	320
791	1213	318
792	1214	317
793	1216	315
794	1217	314
795	1219	312
796	1220	310
797	1222	309
798	1223	307
799	1224	306
800	1226	304
801	1227	303
802	1229	301
803	1231	300
804	1232	298
805	1234	297
806	1235	295
807	1237	294
808	1238	292
809	1240	290
810	1241	289
811	1243	287
812	1245	286
813	1246	284
814	1248	283
815	1249	281
816	1250	280
817	1252	278
818	1254	277
819	1255	275
820	1256	274
821	1258	272
822	1259	270
823	1261	269
824	1262	267
825	1264	266
826	1266	264
827	1267	263
828	1269	261
829	1270	260
830	1272	258
831	1273	257
832	1274	255
833	1276	254
834	1277	252
835	1279	250
836	1280	249
837	1282	247
838	1283	246
839	1285	244
840	1287	243
841	1288	241
842	1289	240
843	1291	238
844	1293	237
845	1294	235
846	1295	234
847	1297	232
848	1298	231
849	1300	229
850	1301	227
851	1303	226
852	1304	224
853	1306	223
854	1307	221
855	1309	220
856	1310	218
857	1311	217
858	1313	215
859	1315	214
860	1316	212
861	1318	211
862	1320	209
863	1321	208
864	1323	206
865	1324	204
866	1326	203
867	1327	201
868	1328	200
869	1330	198
870	1332	197
871	1334	195
872	1336	194
873	1337	192
874	1339	191
875	1341	189
876	1343	188
877	1344	186
878	1345	185
879	1347	183
880	1349	182
881	1351	180
882	1352	179
883	1354	177
884	1355	176
